Needs,Feelings,ResponseID,Life_Satisfaction,Plan_graduate_thisyear,Feeling_today,Degree_programm,Faculty
,,743,9,nee,8,bachelor jaar 3,"techniek, bestuur en management (tbm)"
Making contact with fellow students was difficult in the first period and finding the right way to study and exchange study methods were difficult,,744,8,nee,7,bachelor jaar 1,"electrotechniek, wiskunde & informatica (ewi)"
,,745,3,no,4,bachelor 1st year,"electrical engineering, mathematic, and computer sciences (eemcs)"
Loneliness no motivation just studying/no social activities online lesson is not nice,,746,2,nee,3,bachelor jaar 2,luchtvaart- en ruimtevaarttechniek (lr)
,,747,5,ja,8,bachelor jaar 1,bouwkunde (bk)
,"I cycled a bit, was tasty",748,7,nee,7,masters jaar 1,luchtvaart- en ruimtevaarttechniek (lr)
"Less contact with fellow students, fewer busy days: feeling that I don't get out of my time what I would like",,749,6,ja,4,masters jaar 2 +,"electrotechniek, wiskunde & informatica (ewi)"
,,750,4,nee,6,masters jaar 1,bouwkunde (bk)
"The coronacrisis does not only cause problems. For students who do not live in Delft, it is pleasant not to have to go to the campus for an activity that can easily be organized online.",,751,8,ja,8,bachelor jaar 3,civiele techniek & geowetenschappen (citg)
"Personally, I sometimes had the feeling that some profesors simply had no respect for the students. This was mainly because they didn't want to make any effort to give our live lectures (yes I know that the priority of lectures are also relatively okay but the interaction is completely gone), then you will get a voice in mind that says; If they don't want to make any effort for us why would I make an effort for them and I don't mean studying the material because that should happen but especially it again at weird times the agenda to make the agenda in that one question time in the can be two weeks. Everyone has to adapt in this weird situation, but sometimes I have the idea that we as students are simply being put aside. I am not going to say what professor it was but I had a profession last semseter where all the college had been adopted and there was a questions hour once every 2 weeks for the 120 students who followed that course that was far too little, it was also that emails With questions also not answered properly, so that no interaction with the professor was possible at all. That then while it normally gives college for this course 6-8 hours a week and now apparently did not think it was worth releasing the same time a week for us.",,752,8,nee,7,masters jaar 1,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
,,753,8,nee,8,bachelor jaar 3,"techniek, bestuur en management (tbm)"
,,754,6,nee,7,bachelor jaar 1,luchtvaart- en ruimtevaarttechniek (lr)
,,755,6,nee,7,masters jaar 2 +,civiele techniek & geowetenschappen (citg)
"Group work was difficult because I did not know the others and there was no mandatory hour that you had to work on. Furthermore, if I started to run a bit for 1 box because I was sick or just had no energy for 1 day, it was very difficult to pick up the thread again, especially due to mental reason, from shit I walk behind and then every time you Will catch up getting a panicky feeling. It also does not help that I know none of the training, from the second or third year, and it feels like I can't talk about anything about box. 1 box that it was very good to me, was Numeric Mathematics Practicum who had fixed questions mornings/afternoon via Jitsi. That was very helpful.",,756,5,nee,2,bachelor jaar 2,civiele techniek & geowetenschappen (citg)
"That a lot has to come from yourself. Going to work, staying motivated, persevering. Normally you pull each other through that.",,757,4,nee,6,masters jaar 1,bouwkunde (bk)
"If you remotely cared about the mental health of students there are so many things you could do. The student counselors are a joke, a lot of people with health problems don't know that they can get help (extra time on exams, help with tuition, etc) you don't care to inform them. year after year students fill in the course evaluation forms giving valid criticism to pros and courses and they are consistently ignored. You know exactly which Courses/Study Programs are way too much for the credits givven and yet each year you do nothing. With covid you basically told students 'sucks to be you' and provid no help or allowances whatsoever.","Demotivated, Burnt Out and Very Tired",758,2,yes,2,masters 2nd year +,aerospace engineering (ae)
Almost all of my friends at the TU seemed to be allowed to go to the campus for education or in an adapted manner at some times. This was not allowed to do this very specifically my volume of my studies. Because of this I felt undervalued and less motivated.,,759,8,nee,6,bachelor jaar 3,"electrotechniek, wiskunde & informatica (ewi)"
,,760,7,ja,6,masters jaar 2 +,technische natuurwetenschappen (tnw)
,,761,10,ja,10,bachelor jaar 1,"electrotechniek, wiskunde & informatica (ewi)"
,,762,,ja,,masters jaar 2 +,bouwkunde (bk)
,,763,8,ja,8,bachelor jaar 1,civiele techniek & geowetenschappen (citg)
,,764,,nee,4,bachelor jaar 4 +,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
,,765,6,yes,4,bachelor 4th year +,aerospace engineering (ae)
,,766,7,nee,7,bachelor jaar 3,industrieel ontwerpen (io)
More Social Engagement from the faculty Maybe. In A Physical Capacity Especally Along with the Students Who Haven’t Been To The Faculty For Over A Year.,Lack of Motivation to Be Productive.,767,6,no,5,masters 2nd year +,aerospace engineering (ae)
"I think, (which does not apply to me), that the alone (and certainly foreign) student had a hard time this time. I think involving these people, by organizing,, among other things, events, is very important.",,768,7,ja,8,masters jaar 2 +,luchtvaart- en ruimtevaarttechniek (lr)
"Lots of concentration, sleeping problems and feeling of time completely lost. (cause by having to do everything in the same loft, instead of a different location for lectures). no more rest",Not at all busy with study; on a break until after summer,769,6,nee,9,masters jaar 2 +,luchtvaart- en ruimtevaarttechniek (lr)
,,770,5,yes,4,masters 2nd year +,architecture and the built environment (a&be)
,,771,4,nee,6,bachelor jaar 1,civiele techniek & geowetenschappen (citg)
Distraction during online lectures and the proliferation of platforms for online lectures and in particular exams. Clarity in particular online exams would be very nice,,772,6,nee,6,"anders, namelijk","werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
I would like it to be easier to get a workplace at the university.,,773,7,ja,7,masters jaar 2 +,"electrotechniek, wiskunde & informatica (ewi)"
,,774,8,,8,,
,,775,3,nee,4,bachelor jaar 2,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
,,776,6,no,5,masters 1st year,aerospace engineering (ae)
,,777,5,nee,6,bachelor jaar 3,technische natuurwetenschappen (tnw)
It would be nice if the university Considers The Financial Precarity of International Students in The Current Situation.,,778,2,yes,2,masters 2nd year +,architecture and the built environment (a&be)
"Start studying and continuing to study. At the start of the Corona this was still possible, but last semester I could no longer get to work, or if I started I quickly became distracted. Staring outside and doing nothing became more interesting than studying.","I feel good about it and I have friends around me where I can go. But I cannot encourage myself to study, which does influence my state of mind",779,5,nee,7,bachelor jaar 3,bouwkunde (bk)
,,780,4,nee,6,masters jaar 1,technische natuurwetenschappen (tnw)
Too little contact with fellow students to be able to study together (even though I have personal contact with them) much more difficulty with online lectures than offline. I do not understand it less quickly and remember it less well (in addition to finding motivation to follow them).,,781,10,nee,9,bachelor jaar 3,civiele techniek & geowetenschappen (citg)
"Little opportunity to work at TU Delft, no variety outside of study",,782,8,nee,7,masters jaar 2 +,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
"I Feel very neglected bee an international student here. Be it the heavy tuition fees we pay or what opportunities we get, I always feel we are never considered while making decisions. I will have to always be for help just because we do not belong to this place. I Strongly Feel That Tu Delft is not a great place for an international student to be here. We pay so much but we get very little in return",,783,4,yes,2,masters 2nd year +,architecture and the built environment (a&be)
,,784,3,nee,5,bachelor jaar 1,industrieel ontwerpen (io)
Phpaps it would be nice if the university could hold more sort of social events or have more project based classes.,"I Feel Incredible Bore, I Really Need to Study For Exams, But I Can't Stop Myelf From Procrastinating. I'm sort or losing track of time from being in my room all day.",785,6,no,4,bachelor 1st year,aerospace engineering (ae)
,,786,7,no,6,masters 1st year,"electrical engineering, mathematic, and computer sciences (eemcs)"
"Halfway through my first master year the coronacrisis started. As a result, I lost contact with people from my master who I had just got to know, so that I actually don't know any of my master. There was a lot of attention for first-year bachelor's and master's students to get to know each other at the start of this academic year (very logical and rightly so!), But senior students still had fewer options for that. My motivation was mainly removed because every day I was in my room all day to study, relax, sleep and eat. Later when study places were released at the TU, that really got better. And finally I also suffered from few social contacts. I liked online drinks or coffee breaks in the beginning, but soon one thing I 'had to do' than I really wanted it. As a result, I really saw much less different people and I came into a rut in which I couldn't study well either.",,787,7,nee,8,masters jaar 2 +,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
,,788,4,no,4,masters 1st year,"mechanical, maritime, and material engineering (3me)"
"Before my internship Ben came through a professor of TU Delft at a company (EYA Solutions) that exploited students and used them as free employees in which they saw more than 40-hour working weeks such as normal and forced students with fraud and lies to do multi-year projects As graduation projects while there is only a few months in front of this. After having raised this at my faculty (BME) and have provided evidence that this had already happened to at least 12 other students, they decided to continue to work with this company and clearly show that the experience of their students is not makes up. I find this outrageous from TU Delft and has harmed their image with me and the other 12 students.",,789,8,ja,6,masters jaar 2 +,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
,,790,9,nee,7,bachelor jaar 3,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
Could you Provide Both Online and Offline Education Solutions?,,791,7,no,7,masters 1st year,"mechanical, maritime, and material engineering (3me)"
,,792,3,nee,4,bachelor jaar 4 +,"electrotechniek, wiskunde & informatica (ewi)"
,,793,7,nee,8,bachelor jaar 1,luchtvaart- en ruimtevaarttechniek (lr)
,,794,7,nee,7,masters jaar 1,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
,,795,3,nee,4,bachelor jaar 4 +,luchtvaart- en ruimtevaarttechniek (lr)
"Procedure during exams. This was and still has been a gross violation of my privacy in my opinion. I felt driven in a corner. My opposition was also ignored/rejected as an individual student. Because the motto was, if you don't accept what we want from you, we would like to see you again next year. I also want to add if the TU cannot agree with this statement. I also found it fairly outrageous to put certain responsibilities to the student. This is mainly aimed at the sanctions that would be affected if your internet connection suddenly ends. Fortunately this did not happen to me. But this has delivered a lot of stress, since the factor is influenced by largely exterene influences (e.g. living in a student flat of 15 high, +/- 400 to 500 people) that I can do relatively little about. For me, this showed that the measures that the TU has taken were not taken into account with the right to privacy, but more focused on functionality. My advice would therefore be to take into account the rights and values ​​of society and both the student in these types of measures.",,796,6,ja,7,masters jaar 2 +,"techniek, bestuur en management (tbm)"
,,797,3,yes,6,bachelor 1st year,"mechanical, maritime, and material engineering (3me)"
"It is very difficult to see that working people have a lot of opportunity to go to the office and have a separate office available at home, while students have none of these options.",,798,4,ja,4,bachelor jaar 4 +,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
,,799,6,nee,4,bachelor jaar 1,"electrotechniek, wiskunde & informatica (ewi)"
loneliness,,800,8,nee,8,masters jaar 2 +,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
loneliness. The feeling that I don't belong at the TU. The fact that I don't know my professors. The feeling that you are very much left to your fate. But this is also because I did not do my bachelor at the TU. Stress during exams whether my internet would be good enough or whether the neighbors would drill again. Uncertainty and loneliness about my choice for abroad/Master Electives and being difficult to talk to other students about it because you don't see them in real life.,,801,5,nee,6,masters jaar 1,"techniek, bestuur en management (tbm)"
,,802,,,,,
,,803,8,yes,8,masters 2nd year +,"mechanical, maritime, and material engineering (3me)"
,,804,7,nee,8,masters jaar 2 +,bouwkunde (bk)
"Because I started in the Corona year, there is almost no contact between me and fellow students. At the moment it is starting to live a bit with the people I already knew before the training. Working with fellow students is almost quiet, without the consultation it is extremely difficult to bring products to a higher level. The feedback from the teachers is often moderate, this is not due to them, but I do not feel that it helps me to set up a complete end product. I don't hear that much so I assume that things are going well, but with the deadlines in sight I don't know if this is still going. The priority of the training is also rapidly declining, after I have almost been in a meltdown halfway and I also took a few days off on the recommendation of the doctor, it becomes more difficult to worry about school when my mental health here is the Dupe can be. I have already signed up for the Psychologist students in mid -April, but the waiting time of this is until the summer .. I think vacation and free time is the thing I need now, and will probably feel less for this then to start.",,805,3,ja,4,"anders, namelijk",bouwkunde (bk)
,,806,8,ja,7,masters jaar 2 +,"electrotechniek, wiskunde & informatica (ewi)"
,,807,5,nee,5,bachelor jaar 3,technische natuurwetenschappen (tnw)
"Burn out, how later? (with me many other students)",I paused my graduation so I'm free now.,808,6,ja,8,masters jaar 2 +,industrieel ontwerpen (io)
The other interpretations of fellow students and housemates regarding the coronar rules make collaboration/his/life very complicated,nice weather makes a lot of good,809,8,ja,8,masters jaar 2 +,"techniek, bestuur en management (tbm)"
,,810,2,no,3,"other, please specify",applied sciences (as)
"loneliness, lack of motivation",,811,4,nee,7,bachelor jaar 1,bouwkunde (bk)
"I found it very difficult to concentrate. Many teachers let go of permanent college moments and posted videos on BrightSpace. I would find it very valuable if there were many more fixed times a week, so that I have more structure and hold I have my routine. In addition, a lot of teachers left the possibilities of online education, because it gives limitations but also new tools. A lot of teachers could do more with this to make education more active.",Deadline of the concept report of the Bep comes very close and concentrating is not very good.,812,5,ja,6,bachelor jaar 3,"techniek, bestuur en management (tbm)"
Working from home is not always productive. Can not easily show or consult your results. Less contact with fellow students. Less easy contact with professors or employees to ask questions.,,813,7,nee,6,masters jaar 2 +,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
"Many lectures have been converted to watching video lectures from one or two years ago. As a result, the Semilive contact that you have with teachers (and students in the group app) is a bit more away. In addition, watching videos is demotivating than lectures at set times. If you don't watch that video college, I feel that it has fewer consequences than a live online college, so you postpone it earlier.",,814,8,nee,8,bachelor jaar 1,technische natuurwetenschappen (tnw)
"- Nothing fun to look forward to - no social interaction except housemates - especially in winter suffering from negative thoughts no sense to be with people - studying at home often did not work well - often experiences online exams as extremely stressful and therefore often not also not Made well / not the feeling that I could have someone about it or that there were something of compensations (explaining home situation, for example, a lot of sound at home so that I never had good concentration etc ..) - finally. Not the feeling from the TU that they have done their best to do something for students from the moment Corona broke out. Now of course, but think it took too long. And organizing such a wellness week felt a bit crooked and not genuinely from the TU.",,815,7,ja,5,bachelor jaar 4 +,civiele techniek & geowetenschappen (citg)
,,816,5,no,4,masters 1st year,aerospace engineering (ae)
,Tired - especially due to muscle pain - but study -motivated,817,8,nee,7,masters jaar 1,technische natuurwetenschappen (tnw)
,,818,7,no,7,masters 1st year,"electrical engineering, mathematic, and computer sciences (eemcs)"
A long term psychotherapist.,"Exams are coming soon and I am a bit behind with the courses, but it's such a beautiful day! So I am in a pretty good mood: D",819,4,no,8,bachelor 1st year,"electrical engineering, mathematic, and computer sciences (eemcs)"
,,820,6,yes,7,masters 2nd year +,industrial design engineering (ide)
"I felt very unsafe during the mandatory physical presence. Teachers and students did not comply with the measures and in the studios no one was responsible for checking this. I was obliged to collaborate with people who tested positive a week later. TU Delft has a duty to offer safe education and this duty has not fulfilled. After raising this with the teachers, I received a negative assessment that could not be substantiated. I am very shocked and therefore I decided to look for another university for my master.",,821,4,nee,4,bachelor jaar 2,bouwkunde (bk)
"Following online lessons became very tiring after a few months. Because there was no variety in how we followed, I didn't feel a student and it was sometimes very difficult to be able to focus well on school work.","Well, the sun is shining so that helps a lot with my well -being",822,8,nee,7,bachelor jaar 1,industrieel ontwerpen (io)
,,823,6,nee,7,bachelor jaar 4 +,bouwkunde (bk)
,,824,0,ja,0,bachelor jaar 3,"techniek, bestuur en management (tbm)"
,,825,5,nee,5,masters jaar 2 +,civiele techniek & geowetenschappen (citg)
,,826,7,nee,6,bachelor jaar 1,bouwkunde (bk)
"Not being able to do fun things like eating out, going to the movies, parties and not being able to study at the TU every day.",,827,7,nee,7,masters jaar 1,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
,,828,3,no,3,bachelor 1st year,"electrical engineering, mathematic, and computer sciences (eemcs)"
,,829,8,nee,8,masters jaar 2 +,technische natuurwetenschappen (tnw)
,,830,7,ja,7,bachelor jaar 3,luchtvaart- en ruimtevaarttechniek (lr)
"1. Workplace too small and not workable 2. No perspective, nothing to do 3. Evening clock 4. Only what was possible was studying 5. Insufficient attention, no understanding of and for students 6. No sport 7. Losing friends",Because of the relaxation and the weather things are going much better but it is now starting to become busy with study and actually I no longer have any energy for it.,831,8,nee,6,masters jaar 1,industrieel ontwerpen (io)
,,832,,,0,masters jaar 1,"electrotechniek, wiskunde & informatica (ewi)"
"Disappointment in the fact that the TU believes in the core that mental health is something that students should take care of themselves. In contrast to schools or companies, where teachers or managers engage the right psychologists, it is so that students just fall in between. Nobody actually pay attention to them, you will have to go to the study advisor yourself, and he will then not take the lead. You will have to arrange everything yourself. It is not seen as the responsibility of the TU to ensure that students are mentally healthy, but why?",,833,3,ja,6,masters jaar 2 +,technische natuurwetenschappen (tnw)
I think that thesis students should be offered more opportunities on campus.,,834,7,ja,6,masters jaar 2 +,luchtvaart- en ruimtevaarttechniek (lr)
Occasionally it is a pity that you meet so few people of the opposite sex. That ensured that I was occasionally a little inspiration -free.,great weather,835,3,nee,3,masters jaar 1,technische natuurwetenschappen (tnw)
,,836,9,ja,8,masters jaar 2 +,"electrotechniek, wiskunde & informatica (ewi)"
"Mainly contact with professors, my supervisor specifically. By working from home it is impossible to walk by. Because of this you are often stuck with a problem for a longer period of time because contact goes slowly via e -mail.","fine, but not very focused",837,7,ja,7,masters jaar 2 +,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
,,838,2,yes,2,bachelor 4th year +,"electrical engineering, mathematic, and computer sciences (eemcs)"
"I Feel Like Filling Out This Surveys Don't Help. I'd Like To See Some Results, Like Averages How the Others Feel (If It is in Total Negative, Some Tips As Follow Up etc)",Just unmotivated. Took me like 1 hour to get out of bed.,839,3,no,3,masters 1st year,"mechanical, maritime, and material engineering (3me)"
"The unmotivated teachers. If every course had taken the trouble to give live lectures, I would have had much less trouble motivating myself to follow courses.",Today I was mainly in bed and regularly thought that it would be better if I were not there.,840,5,nee,2,bachelor jaar 3,"techniek, bestuur en management (tbm)"
,,841,8,ja,6,bachelor jaar 1,industrieel ontwerpen (io)
"As menttioned in Previous Question, I would like to be vaccinated asap. Maybe I Should Ask for Local Municipality by Myself.",,842,5,no,6,masters 1st year,"electrical engineering, mathematic, and computer sciences (eemcs)"
after,"Lonely, Tired, Sleep-Deprived (Mostly because I'm not in Delft, So My Sleep Schedule is Messed Up because of the Odd Timings and Time Difference)",843,3,no,3,bachelor 2nd year,"electrical engineering, mathematic, and computer sciences (eemcs)"
"Provide more education at the Faculty. The possibility is there, but our teachers are not obliged to be present. I notice that they continue to zoom, that is their right. But I notice that I am completely done with online education and I think it is a shame that some teachers get rid of everything so easily. For example, I now have a profession where our introduction lectures were not even live. I don't think this is a good start to a new profession, it unfortunately feels a lot of unmotivating for me.",,844,7,nee,7,bachelor jaar 1,bouwkunde (bk)
"It is very difficult to ask questions to teachers, they are often not available via e -mail, and the BrightSpace discussion platform is not responded to.",,845,8,ja,7,bachelor jaar 4 +,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
"Uncertainty from the faculty with regard to courses, projects and exams. Communication was often not enough to give a sense of control with us.",,846,7,nee,7,bachelor jaar 2,industrieel ontwerpen (io)
"Expand the pressure to do things with friends again, now that everything opens up again with increasing study pressure is not ideal",,847,6,nee,4,bachelor jaar 3,civiele techniek & geowetenschappen (citg)
,,848,7,nee,5,masters jaar 1,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
,,849,4,ja,2,masters jaar 2 +,luchtvaart- en ruimtevaarttechniek (lr)
"Because of Corona I have sustained a study delay, this year I finish my bachelor, I just don't know if I want to start my master if I haven't completed my bachelor yet",,850,6,ja,7,bachelor jaar 4 +,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
,,851,4,no,5,masters 1st year,aerospace engineering (ae)
The need to see people was very high. Sitting in your small room behind a screen all day is far from optimal.,,852,6,nee,7,bachelor jaar 1,"electrotechniek, wiskunde & informatica (ewi)"
,tired,853,7,nee,6,masters jaar 1,"electrotechniek, wiskunde & informatica (ewi)"
,,854,8,no,8,masters 1st year,"electrical engineering, mathematic, and computer sciences (eemcs)"
Lack of stimuli and social contact. and over -stimulation and fatigue by starting social life,,855,4,ja,6,bachelor jaar 4 +,technische natuurwetenschappen (tnw)
,I am a bit chaotic in my head today,856,7,nee,6,masters jaar 2 +,bouwkunde (bk)
,,857,,yes,6,masters 2nd year +,"electrical engineering, mathematic, and computer sciences (eemcs)"
,,858,10,yes,10,masters 2nd year +,"mechanical, maritime, and material engineering (3me)"
"Very bad study facilities. Is better now. I find it difficult to understand that buildings are completely empty (still) to take the certain for the uncertainty. In that respect, TU Delft, in my opinion, has fallen enormously short (and still). The biggest loss is among the students (especially other graduates) because the graduation process in itself is incredibly lonely (no group work, project groups, lectures, etc.).",,859,8,nee,7,masters jaar 2 +,luchtvaart- en ruimtevaarttechniek (lr)
,,860,7,nee,7,bachelor jaar 2,civiele techniek & geowetenschappen (citg)
My Duwo Housing Contract is ending in the last week of July and it is really tough to find a place for just a couple of months after that. I am planning to graduate in August but finding a place to live could have an effect on that.,,861,3,yes,2,masters 2nd year +,"mechanical, maritime, and material engineering (3me)"
,,862,2,ja,0,bachelor jaar 2,bouwkunde (bk)
"I Feel Like the Amount of Actual teaching the Lectures is very low. Students Need to Do Most of the Work Themselves, And This is very frustrating, Especial Considering That Some Lecturers Don't Do Much to Help Ease US Into Their Courses. Learning here Feels More Like Cramming Lattely, Because of the Amount and Difficulty of Information. These Sorts of Learning Regimes Don't Aid in Creating Deep Thinking Minds, IT Only AIDS in Creating Robots That Learn Concepts by Heart, Without Actual Understanding Anything.",,863,2,yes,0,bachelor 1st year,"electrical engineering, mathematic, and computer sciences (eemcs)"
,,864,3,no,5,masters 2nd year +,aerospace engineering (ae)
,rose chagarine. Realized that my mother still has my keys. All moderate for a moment.,865,7,ja,4,masters jaar 2 +,civiele techniek & geowetenschappen (citg)
"The lack of a social faculty environment. I am a first -year Master student and I hardly know any of my year, because I simply never see or talk to them",,866,5,nee,6,masters jaar 1,industrieel ontwerpen (io)
,,867,3,no,5,masters 1st year,applied sciences (as)
,,868,7,nee,8,bachelor jaar 4 +,bouwkunde (bk)
,"Have the opportunity to work together on projects at a university other than my own, which makes me have social contact and I am more productive",869,3,nee,8,bachelor jaar 2,"electrotechniek, wiskunde & informatica (ewi)"
,,870,7,nee,6,masters jaar 1,luchtvaart- en ruimtevaarttechniek (lr)
studying is spicy boring on your own,,871,5,nee,7,masters jaar 2 +,"electrotechniek, wiskunde & informatica (ewi)"
,,872,6,nee,8,bachelor jaar 2,bouwkunde (bk)
,,873,,ja,8,masters jaar 2 +,"electrotechniek, wiskunde & informatica (ewi)"
,,874,8,nee,7,masters jaar 2 +,civiele techniek & geowetenschappen (citg)
,,875,4,nee,3,bachelor jaar 1,industrieel ontwerpen (io)
,,876,2,nee,3,masters jaar 1,"electrotechniek, wiskunde & informatica (ewi)"
,Depressive thoughts are not fun.,877,4,nee,3,masters jaar 2 +,luchtvaart- en ruimtevaarttechniek (lr)
Live Lectures on Campus Exams Please Open Up Campus !!!!!!!!!,Give me live lectures please !!!!!!!!!!!!!!!!!!!!!!!!!,878,3,no,2,bachelor 2nd year,aerospace engineering (ae)
,,879,2,nee,1,bachelor jaar 4 +,luchtvaart- en ruimtevaarttechniek (lr)
"Distance education ensures less contact between students, and you are quickly distracted.",,880,8,nee,7,bachelor jaar 1,industrieel ontwerpen (io)
I Don't Know,"Yesterday, I just talked with an academic counselor. It was a good conversation and helpful. However, Today I am feeling a bit down. Maybe This Due to My Anxiaty Towards My Graduation Project. I think everything should be okay. I know, nervous when working on a graduation project is common, but I am not sure if this feeling is still normal. I hope so, so nothing to be worried",881,6,no,5,masters 2nd year +,industrial design engineering (ide)
,,882,7,nee,7,bachelor jaar 1,technische natuurwetenschappen (tnw)
,,883,10,no,10,masters 1st year,"electrical engineering, mathematic, and computer sciences (eemcs)"
,,884,7,nee,8,masters jaar 2 +,industrieel ontwerpen (io)
,,885,8,ja,8,masters jaar 2 +,civiele techniek & geowetenschappen (citg)
,,886,8,nee,8,bachelor jaar 1,"electrotechniek, wiskunde & informatica (ewi)"
"With some courses I wonder if I have understood the base well, and I am afraid of courses that still have to come",,887,7,ja,6,bachelor jaar 1,technische natuurwetenschappen (tnw)
,Productive and equipped,888,9,ja,8,bachelor jaar 1,industrieel ontwerpen (io)
,,889,6,nee,6,masters jaar 2 +,technische natuurwetenschappen (tnw)
,,890,,nee,,masters jaar 1,civiele techniek & geowetenschappen (citg)
,,891,6,no,8,bachelor 1st year,applied sciences (as)
"I would like the university, for example, to open the bars again, because this is allowed again",,892,6,nee,5,masters jaar 1,technische natuurwetenschappen (tnw)
"Loneliness, little self -evident contact with other students and supervisors during graduation, or when all that is not possible. It does not feel like there is interest from the TU in my emotional condition and it takes a lot of time to get in touch with people who can help, both inside and outside the TU.","As long as I don't think of study and future, I feel good, but as soon as I want to do something about my graduation, all the energy and happiness disappears",893,5,nee,6,masters jaar 2 +,civiele techniek & geowetenschappen (citg)
,,894,2,no,3,bachelor 1st year,"electrical engineering, mathematic, and computer sciences (eemcs)"
,,895,4,yes,4,masters 2nd year +,aerospace engineering (ae)
,,896,,nee,5,masters jaar 1,luchtvaart- en ruimtevaarttechniek (lr)
,,897,6,nee,6,bachelor jaar 2,bouwkunde (bk)
,,898,3,yes,7,masters 2nd year +,aerospace engineering (ae)
,,899,7,nee,6,masters jaar 2 +,"electrotechniek, wiskunde & informatica (ewi)"
,,900,8,nee,7,bachelor jaar 1,"electrotechniek, wiskunde & informatica (ewi)"
"Studying difficult at home in a whole year is the only thing the students of TU Delft have received a lot of candles through the letterbox, that is what we have received for thousands of euros in tuition fees",,901,2,nee,2,masters jaar 1,bouwkunde (bk)
The lesser/few contact with fellow students because you are not next to each other and do not walk through the corridors but only sits at home.,,902,6,ja,7,bachelor jaar 1,"electrotechniek, wiskunde & informatica (ewi)"
,,903,7,nee,7,masters jaar 2 +,industrieel ontwerpen (io)
,,904,5,no,5,bachelor 1st year,aerospace engineering (ae)
,,905,3,yes,6,masters 2nd year +,civil engineering and geosciences (ceg)
,,906,2,nee,4,masters jaar 1,luchtvaart- en ruimtevaarttechniek (lr)
,,907,,nee,8,bachelor jaar 4 +,"electrotechniek, wiskunde & informatica (ewi)"
,,908,5,nee,4,bachelor jaar 2,technische natuurwetenschappen (tnw)
Break out rooms during lectures are not ideal. This could be solved with short assignments in preparation or afterwards to a college that you have to make with 2 to 3 people.,,909,9,nee,8,masters jaar 1,bouwkunde (bk)
,,910,6,ja,7,masters jaar 2 +,civiele techniek & geowetenschappen (citg)
,,911,7,yes,8,masters 2nd year +,"electrical engineering, mathematic, and computer sciences (eemcs)"
,,912,2,yes,3,masters 2nd year +,aerospace engineering (ae)
"being able to work physically in project groups is nice, but having digital agreements (eg with teachers, or simply within project groups) is also good and sometimes more convenient. Physically lectures ensure that you better keep your concentration there; But the advantage of following Home College is also that at a boring lecture, or with dust you already know, you can easily do something else.","Concentration could be better, but have been productive for 2 hours (it is now 11:00); But concentration is also well negatively influenced by work on campus",913,8,nee,7,masters jaar 1,civiele techniek & geowetenschappen (citg)
Little flexibility around problems with exams. (almost) no 1 on 1 contact with teachers,,914,7,nee,4,masters jaar 1,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
,,915,7,ja,6,masters jaar 2 +,bouwkunde (bk)
There is no cohesion between the students in general and no connections between teachers and students. This makes it seem like we've been watching YouTube videos for a year and a half without any form of interaction.,"Online lessons after 1 year are horrible. Many teachers, nevertheless it is currently possible, not physical education.",916,4,nee,3,masters jaar 1,bouwkunde (bk)
,,917,5,yes,5,masters 2nd year +,"technology, policy, and management (tpm)"
,,918,7,no,5,masters 1st year,architecture and the built environment (a&be)
,,919,6,nee,7,bachelor jaar 1,bouwkunde (bk)
,,920,,ja,7,bachelor jaar 4 +,"electrotechniek, wiskunde & informatica (ewi)"
,,921,7,ja,7,masters jaar 2 +,"electrotechniek, wiskunde & informatica (ewi)"
"Little study of help. For questions you have to send an email to which you sometimes get an answer. The coronacrisis has been difficult for everyone. The university has adhered to all agreements and there is little improvement in this. The difficult choices made in terms of (deteriorated) education have been made to get out of this crisis as quickly as possible. As far as I'm concerned, TU Delft has acted well.","Study pressure because of the deadlines this week and next week, and then an exam week.",922,6,nee,7,masters jaar 1,"electrotechniek, wiskunde & informatica (ewi)"
,,923,7,ja,7,bachelor jaar 3,technische natuurwetenschappen (tnw)
